guid,keys,vals,pairs,total
cpb-aacip-398-278sfdms.106920,0,0,0,0
cpb-aacip-507-7h1dj59628.102090,0,0,0,0
cpb-aacip-526-sb3ws8js1h.35565,1.0,1.0,1.0,1.0
cpb-aacip-507-154dn40c26.105390,0,0,0,0
cpb-aacip-526-1j9765bd42.195,0,0,0,0
cpb-aacip-507-154dn40c26.1620,0,0,0,0
cpb-aacip-526-dj58c9s78v.6300,1.0,1.0,1.0,1.0
cpb-aacip-901dfeea4db.59295,1.0,0.0,0.0,0.0
cpb-aacip-259-4x54hm72.11025,0,0,0,0
cpb-aacip-398-278sfdms.17565,0,0,0,0
cpb-aacip-526-r20rr1qt55.45615,1.0,1.0,1.0,1.0
cpb-aacip-507-154dn40c26.1935,0,0,0,0
cpb-aacip-526-dj58c9s78v.7350,1.0,1.0,1.0,1.0
cpb-aacip-507-862b854459.67995,0,0,0,0
cpb-aacip-526-dj58c9s78v.83835,1.0,0.0,0.0,0.0
cpb-aacip-507-7h1dj59628.7785,0,0,0,0
cpb-aacip-507-tq5r786f7w.43725,1.0,1.0,1.0,1.0
cpb-aacip-526-3r0pr7nr8r.11250,0,0,0,0
cpb-aacip-526-r20rr1qt55.105660,1.0,1.0,1.0,1.0
cpb-aacip-526-jh3cz33b2z.4260,0,0,0,0
cpb-aacip-81-902z3f9j.52245,0,0,0,0
cpb-aacip-526-3r0pr7nr8r.53805,0,0,0,0
cpb-aacip-507-736m03zh49.93240,1.0,1.0,1.0,1.0
cpb-aacip-41-10wpzpt5.53160,0,0,0,0
cpb-aacip-81-902z3f9j.52455,0,0,0,0
cpb-aacip-901dfeea4db.1425,1.0,1.0,1.0,1.0
cpb-aacip-526-dj58c9s78v.84255,1.0,1.0,1.0,1.0
cpb-aacip-398-00ns1wds.49410,1.0,1.0,1.0,1.0
cpb-aacip-526-sb3ws8js1h.51105,1.0,0.0,0.0,0.0
cpb-aacip-398-00ns1wds.49905,1.0,1.0,1.0,1.0
cpb-aacip-507-ms3jw87c9c.105045,0,0,0,0
cpb-aacip-526-dj58c9s78v.83880,1.0,1.0,1.0,1.0
cpb-aacip-259-3n20fq7w.40905,1.0,0.0,0.0,0.0
cpb-aacip-507-ms3jw87c9c.103665,0,0,0,0
cpb-aacip-526-dj58c9s78v.28065,1.0,1.0,1.0,1.0
cpb-aacip-526-dj58c9s78v.87045,1.0,0.0,0.0,0.0
cpb-aacip-526-dj58c9s78v.58815,1.0,1.0,1.0,1.0
cpb-aacip-507-ms3jw87c9c.78450,0,0,0,0
cpb-aacip-526-jh3cz33b2z.1575,0,0,0,0
cpb-aacip-901dfeea4db.107790,1.0,1.0,1.0,1.0
cpb-aacip-526-th8bg2jm3n.7365,1.0,1.0,1.0,1.0
cpb-aacip-398-00ns1wds.3000,1.0,1.0,1.0,1.0
cpb-aacip-507-rj48p5w80b.52995,0,0,0,0
cpb-aacip-507-736m03zh49.52455,1.0,1.0,1.0,1.0
cpb-aacip-398-278sfdms.17595,0,0,0,0
cpb-aacip-398-5370s4sx.86280,0,0,0,0
cpb-aacip-189-623bk932.50280,1.0,1.0,1.0,1.0
cpb-aacip-507-154dn40c26.105585,0,0,0,0
cpb-aacip-526-dj58c9s78v.1920,1.0,1.0,1.0,1.0
cpb-aacip-507-gm81j9807d.55935,0,0,0,0
cpb-aacip-398-72p5hz1h.18915,0,0,0,0
cpb-aacip-507-ms3jw87c9c.5820,0,0,0,0
cpb-aacip-507-ms3jw87c9c.6180,0,0,0,0
cpb-aacip-507-ms3jw87c9c.104445,0,0,0,0
cpb-aacip-293-30prr83h.103230,1.0,1.0,1.0,1.0
cpb-aacip-901dfeea4db.58155,1.0,1.0,1.0,1.0
cpb-aacip-151-5m6251g16w.21255,1.0,1.0,1.0,1.0
cpb-aacip-507-gm81j9807d.106635,0,0,0,0
cpb-aacip-526-3r0pr7nr8r.54570,0,0,0,0
cpb-aacip-526-dj58c9s78v.5100,1.0,0.0,0.0,0.0
cpb-aacip-398-00ns1wds.50475,0.0,0.0,0.0,0.0
cpb-aacip-526-th8bg2jm3n.7230,1.0,1.0,1.0,1.0
cpb-aacip-259-3j39316x.57420,0,0,0,0
cpb-aacip-398-00ns1wds.50490,1.0,1.0,1.0,1.0
cpb-aacip-526-sb3ws8js1h.35085,1.0,1.0,1.0,1.0
cpb-aacip-507-154dn40c26.105645,0,0,0,0
cpb-aacip-398-278sfdms.107130,0,0,0,0
cpb-aacip-526-dj58c9s78v.3720,1.0,0.0,0.0,0.0
cpb-aacip-526-th8bg2jm3n.7485,1.0,1.0,1.0,1.0
cpb-aacip-526-dj58c9s78v.79725,1.0,1.0,1.0,1.0
cpb-aacip-507-gm81j9807d.101775,0,0,0,0
cpb-aacip-507-736m03zh49.105945,1.0,1.0,1.0,1.0
cpb-aacip-526-sb3ws8js1h.35910,1.0,1.0,1.0,1.0
cpb-aacip-507-gm81j9807d.56115,0,0,0,0
cpb-aacip-189-623bk932.50295,1.0,1.0,1.0,1.0
cpb-aacip-526-dj58c9s78v.107610,1.0,1.0,1.0,1.0
cpb-aacip-526-sb3ws8js1h.33060,0,0,0,0
cpb-aacip-398-72p5hz1h.18690,0,0,0,0
cpb-aacip-507-gm81j9807d.9045,0,0,0,0
cpb-aacip-526-dj58c9s78v.83085,1.0,1.0,1.0,1.0
cpb-aacip-507-6t0gt5g28c.54435,0,0,0,0
cpb-aacip-526-r20rr1qt55.1530,1.0,1.0,1.0,1.0
cpb-aacip-507-736m03zh49.106230,1.0,1.0,1.0,1.0
cpb-aacip-81-902z3f9j.51915,0,0,0,0
cpb-aacip-507-tq5r786f7w.104400,1.0,1.0,1.0,1.0
cpb-aacip-526-1j9765bd42.50670,0,0,0,0
cpb-aacip-151-5m6251g16w.21360,1.0,1.0,1.0,1.0
cpb-aacip-398-00ns1wds.50820,1.0,1.0,1.0,1.0
cpb-aacip-526-dj58c9s78v.8280,1.0,1.0,1.0,1.0
cpb-aacip-507-gm81j9807d.106590,0,0,0,0
cpb-aacip-41-10wpzpt5.53775,0,0,0,0
cpb-aacip-526-jh3cz33b2z.49815,0,0,0,0
cpb-aacip-526-dj58c9s78v.3900,1.0,1.0,1.0,1.0
cpb-aacip-526-jh3cz33b2z.50520,0,0,0,0
cpb-aacip-901dfeea4db.107880,1.0,1.0,1.0,1.0
cpb-aacip-283-61rfjj43.103545,1.0,1.0,1.0,1.0
cpb-aacip-526-dj58c9s78v.104280,1.0,1.0,1.0,1.0
cpb-aacip-507-7h1dj59628.7725,0,0,0,0
cpb-aacip-526-dj58c9s78v.5910,1.0,1.0,1.0,1.0
cpb-aacip-507-ms3jw87c9c.103830,0,0,0,0
cpb-aacip-526-r20rr1qt55.78510,1.0,1.0,1.0,1.0
cpb-aacip-526-r20rr1qt55.105435,1.0,1.0,1.0,1.0
cpb-aacip-507-154dn40c26.1785,0,0,0,0
cpb-aacip-507-154dn40c26.105915,0,0,0,0
cpb-aacip-526-r20rr1qt55.105360,1.0,0.0,0.0,0.0
cpb-aacip-259-3j39316x.57480,0,0,0,0
cpb-aacip-507-6t0gt5g28c.53805,0,0,0,0
cpb-aacip-526-th8bg2jm3n.7110,1.0,1.0,1.0,1.0
cpb-aacip-526-jh3cz33b2z.49920,0,0,0,0
cpb-aacip-259-3j39316x.44145,0,0,0,0
cpb-aacip-398-00ns1wds.255,1.0,0.0,0.0,0.0
cpb-aacip-0515ac167c0.53685,0,0,0,0
cpb-aacip-507-rj48p5w80b.51285,0,0,0,0
cpb-aacip-398-00ns1wds.3060,1.0,1.0,1.0,1.0
cpb-aacip-507-gm81j9807d.55620,0,0,0,0
cpb-aacip-293-30prr83h.94080,1.0,1.0,1.0,1.0
cpb-aacip-526-3r0pr7nr8r.14025,0,0,0,0
cpb-aacip-526-3r0pr7nr8r.11415,0,0,0,0
cpb-aacip-526-dj58c9s78v.84075,1.0,1.0,1.0,1.0
cpb-aacip-235-5370swqf.3255,0,0,0,0
cpb-aacip-507-ms3jw87c9c.104745,0,0,0,0
cpb-aacip-507-ms3jw87c9c.6090,0,0,0,0
cpb-aacip-901dfeea4db.107520,1.0,1.0,1.0,1.0
cpb-aacip-507-gm81j9807d.55395,0,0,0,0
cpb-aacip-398-5370s4sx.86325,0,0,0,0
cpb-aacip-526-jh3cz33b2z.1560,0,0,0,0
cpb-aacip-507-154dn40c26.105420,0,0,0,0
cpb-aacip-507-6t0gt5g28c.54195,0,0,0,0
cpb-aacip-526-dj58c9s78v.83520,1.0,1.0,1.0,1.0
cpb-aacip-259-3j39316x.44130,0,0,0,0
cpb-aacip-398-00ns1wds.49980,1.0,1.0,1.0,1.0
cpb-aacip-526-dj58c9s78v.104445,1.0,1.0,1.0,1.0
cpb-aacip-398-00ns1wds.50880,1.0,1.0,1.0,1.0
cpb-aacip-189-623bk932.50265,1.0,1.0,1.0,1.0
cpb-aacip-507-736m03zh49.105225,1.0,1.0,1.0,1.0
cpb-aacip-283-61rfjj43.102750,1.0,1.0,1.0,1.0
cpb-aacip-526-dj58c9s78v.107430,1.0,1.0,1.0,1.0
cpb-aacip-901dfeea4db.1965,1.0,1.0,1.0,1.0
cpb-aacip-526-jh3cz33b2z.50010,0,0,0,0
cpb-aacip-398-278sfdms.104805,0,0,0,0
cpb-aacip-507-ms3jw87c9c.104805,0,0,0,0
cpb-aacip-526-dj58c9s78v.82260,1.0,0.0,0.0,0.0
cpb-aacip-526-6q1sf2n94w.95745,0,0,0,0
cpb-aacip-526-1j9765bd42.58260,0,0,0,0
cpb-aacip-0515ac167c0.52320,0.0,0.0,0.0,0.0
cpb-aacip-0515ac167c0.51840,0.0,0.0,0.0,0.0
cpb-aacip-507-gm81j9807d.55410,0,0,0,0
cpb-aacip-507-ms3jw87c9c.91320,0,0,0,0
cpb-aacip-526-dj58c9s78v.5085,1.0,1.0,1.0,1.0
cpb-aacip-507-736m03zh49.105390,1.0,1.0,1.0,1.0
cpb-aacip-526-jh3cz33b2z.4335,0,0,0,0
cpb-aacip-507-rj48p5w80b.51075,0,0,0,0
cpb-aacip-526-dj58c9s78v.78780,1.0,0.0,0.0,0.0
cpb-aacip-507-736m03zh49.106035,1.0,1.0,1.0,1.0
cpb-aacip-526-dj58c9s78v.28185,1.0,1.0,1.0,1.0
cpb-aacip-526-dj58c9s78v.1515,1.0,1.0,1.0,1.0
cpb-aacip-259-3n20fq7w.40935,1.0,0.0,0.0,0.0
cpb-aacip-507-6t0gt5g28c.55425,0,0,0,0
