guid,keys,vals,pairs,total
cpb-aacip-526-jh3cz33b2z.49860,0,0,0,0
cpb-aacip-526-3r0pr7nr8r.54180,0,0,0,0
cpb-aacip-507-ms3jw87c9c.6195,0,0,0,0
cpb-aacip-507-862b854459.101100,0,0,0,0
cpb-aacip-526-th8bg2jm3n.7380,1.0,1.0,1.0,1.0
cpb-aacip-259-m32n9b08.43995,0,0,0,0
cpb-aacip-526-3r0pr7nr8r.54540,0,0,0,0
cpb-aacip-507-gm81j9807d.7350,0,0,0,0
cpb-aacip-507-ms3jw87c9c.104925,0,0,0,0
cpb-aacip-398-72p5hz1h.18735,0,0,0,0
cpb-aacip-283-61rfjj43.102870,1.0,1.0,1.0,1.0
cpb-aacip-507-ms3jw87c9c.104970,0,0,0,0
cpb-aacip-507-736m03zh49.105750,1.0,1.0,1.0,1.0
cpb-aacip-507-gm81j9807d.55695,0,0,0,0
cpb-aacip-259-4x54hm72.49635,0,0,0,0
cpb-aacip-398-57np5q9c.31725,1.0,1.0,1.0,1.0
cpb-aacip-526-dj58c9s78v.4905,1.0,1.0,1.0,1.0
cpb-aacip-526-sb3ws8js1h.33075,1.0,1.0,1.0,1.0
cpb-aacip-526-sb3ws8js1h.50550,1.0,1.0,1.0,1.0
cpb-aacip-526-dj58c9s78v.104250,1.0,1.0,1.0,1.0
cpb-aacip-507-736m03zh49.105195,1.0,1.0,1.0,1.0
cpb-aacip-259-3j39316x.57720,0,0,0,0
cpb-aacip-507-154dn40c26.105630,0,0,0,0
cpb-aacip-507-tq5r786f7w.47250,1.0,1.0,1.0,1.0
cpb-aacip-507-736m03zh49.105825,1.0,1.0,1.0,1.0
cpb-aacip-0515ac167c0.51870,1.0,1.0,1.0,1.0
cpb-aacip-398-57np5q9c.28470,1.0,1.0,1.0,1.0
cpb-aacip-901dfeea4db.60720,1.0,0.0,0.0,0.0
cpb-aacip-41-10wpzpt5.2655,0,0,0,0
cpb-aacip-901dfeea4db.1080,1.0,1.0,1.0,1.0
cpb-aacip-526-dj58c9s78v.5115,1.0,0.0,0.0,0.0
cpb-aacip-901dfeea4db.87135,1.0,1.0,1.0,1.0
cpb-aacip-526-dj58c9s78v.84045,1.0,1.0,1.0,1.0
cpb-aacip-526-dj58c9s78v.58770,1.0,1.0,1.0,1.0
cpb-aacip-398-00ns1wds.3090,1.0,1.0,1.0,1.0
cpb-aacip-507-736m03zh49.4785,1.0,1.0,1.0,1.0
cpb-aacip-526-1j9765bd42.50910,0,0,0,0
cpb-aacip-507-tq5r786f7w.104175,1.0,1.0,1.0,1.0
cpb-aacip-41-10wpzpt5.53445,0,0,0,0
cpb-aacip-901dfeea4db.107730,1.0,1.0,1.0,1.0
cpb-aacip-526-dj58c9s78v.58830,1.0,1.0,1.0,1.0
cpb-aacip-526-dj58c9s78v.107445,1.0,1.0,1.0,1.0
cpb-aacip-526-jh3cz33b2z.30210,0,0,0,0
cpb-aacip-507-ms3jw87c9c.91290,0,0,0,0
cpb-aacip-398-87brvczv.1875,1.0,1.0,1.0,1.0
cpb-aacip-507-gm81j9807d.55485,0,0,0,0
cpb-aacip-259-3n20fq7w.41025,1.0,0.0,0.0,0.0
cpb-aacip-901dfeea4db.1665,1.0,1.0,1.0,1.0
cpb-aacip-526-dj58c9s78v.106905,1.0,1.0,1.0,1.0
cpb-aacip-283-61rfjj43.102810,1.0,1.0,1.0,1.0
cpb-aacip-151-5m6251g16w.21195,1.0,1.0,1.0,1.0
cpb-aacip-398-00ns1wds.49635,1.0,1.0,1.0,1.0
cpb-aacip-526-dj58c9s78v.83535,1.0,1.0,1.0,1.0
cpb-aacip-398-00ns1wds.50640,1.0,1.0,1.0,1.0
cpb-aacip-507-rj48p5w80b.52080,0,0,0,0
cpb-aacip-507-862b854459.68025,0,0,0,0
cpb-aacip-398-278sfdms.10380,0,0,0,0
cpb-aacip-507-ms3jw87c9c.6030,0,0,0,0
cpb-aacip-526-dj58c9s78v.104430,1.0,1.0,1.0,1.0
cpb-aacip-0515ac167c0.52230,1.0,1.0,1.0,1.0
cpb-aacip-526-dj58c9s78v.4995,1.0,1.0,1.0,1.0
cpb-aacip-526-dj58c9s78v.107325,1.0,1.0,1.0,1.0
cpb-aacip-507-154dn40c26.105405,0,0,0,0
cpb-aacip-526-dj58c9s78v.81735,1.0,0.0,0.0,0.0
cpb-aacip-151-5m6251g16w.21450,1.0,1.0,1.0,1.0
cpb-aacip-526-1j9765bd42.51090,0,0,0,0
cpb-aacip-507-gm81j9807d.53670,0,0,0,0
cpb-aacip-398-00ns1wds.4230,1.0,1.0,1.0,1.0
cpb-aacip-526-1j9765bd42.51135,0,0,0,0
cpb-aacip-507-gm81j9807d.53715,0,0,0,0
cpb-aacip-131-375tb64j.48675,0.0,1.0,0.0,0.0
cpb-aacip-507-154dn40c26.26790,0,0,0,0
cpb-aacip-131-375tb64j.48600,1.0,0.0,0.0,0.0
cpb-aacip-81-902z3f9j.51900,0,0,0,0
cpb-aacip-526-dj58c9s78v.82395,1.0,1.0,1.0,1.0
cpb-aacip-507-gm81j9807d.59220,0,0,0,0
cpb-aacip-0515ac167c0.52035,1.0,1.0,1.0,1.0
cpb-aacip-901dfeea4db.60750,1.0,0.0,0.0,0.0
cpb-aacip-398-00ns1wds.50220,1.0,1.0,1.0,1.0
cpb-aacip-507-rj48p5w80b.51975,0,0,0,0
cpb-aacip-526-dj58c9s78v.5055,1.0,1.0,1.0,1.0
cpb-aacip-507-736m03zh49.52470,1.0,1.0,1.0,1.0
cpb-aacip-507-gm81j9807d.9165,0,0,0,0
cpb-aacip-507-ms3jw87c9c.6225,0,0,0,0
cpb-aacip-507-154dn40c26.105195,0,0,0,0
cpb-aacip-901dfeea4db.1980,1.0,1.0,1.0,1.0
cpb-aacip-41-10wpzpt5.53610,0,0,0,0
cpb-aacip-507-ms3jw87c9c.6330,0,0,0,0
cpb-aacip-283-61rfjj43.104625,1.0,1.0,1.0,1.0
cpb-aacip-526-dj58c9s78v.107250,1.0,1.0,1.0,1.0
cpb-aacip-398-72p5hz1h.18705,0,0,0,0
cpb-aacip-507-154dn40c26.105465,0,0,0,0
cpb-aacip-507-736m03zh49.92055,1.0,0.0,0.0,0.0
cpb-aacip-507-154dn40c26.105945,0,0,0,0
cpb-aacip-526-6q1sf2n94w.95760,0,0,0,0
cpb-aacip-283-61rfjj43.102885,0.0,0.0,0.0,0.0
cpb-aacip-507-rj48p5w80b.51360,0,0,0,0
cpb-aacip-507-gm81j9807d.59475,0,0,0,0
cpb-aacip-283-61rfjj43.102990,1.0,0.5,0.5,0.25
cpb-aacip-151-5m6251g16w.21240,1.0,1.0,1.0,1.0
cpb-aacip-41-10wpzpt5.53565,0,0,0,0
cpb-aacip-398-00ns1wds.49545,1.0,1.0,1.0,1.0
cpb-aacip-507-154dn40c26.26250,0,0,0,0
cpb-aacip-507-gm81j9807d.106620,0,0,0,0
cpb-aacip-0515ac167c0.53010,1.0,1.0,1.0,1.0
cpb-aacip-507-6t0gt5g28c.54840,0,0,0,0
cpb-aacip-507-tq5r786f7w.43770,1.0,1.0,1.0,1.0
cpb-aacip-526-dj58c9s78v.104220,1.0,1.0,1.0,1.0
cpb-aacip-901dfeea4db.60510,1.0,1.0,1.0,1.0
cpb-aacip-526-jh3cz33b2z.30195,0,0,0,0
cpb-aacip-507-ms3jw87c9c.5865,0,0,0,0
cpb-aacip-507-7h1dj59628.13215,0,0,0,0
cpb-aacip-507-ms3jw87c9c.104955,0,0,0,0
cpb-aacip-507-ms3jw87c9c.104505,0,0,0,0
cpb-aacip-901dfeea4db.60465,1.0,0.0,0.0,0.0
cpb-aacip-189-623bk932.50355,1.0,1.0,1.0,1.0
cpb-aacip-526-dj58c9s78v.4890,1.0,1.0,1.0,1.0
cpb-aacip-283-61rfjj43.102630,1.0,1.0,1.0,1.0
cpb-aacip-526-dj58c9s78v.3735,1.0,1.0,1.0,1.0
cpb-aacip-221-03cz924b.50145,1.0,1.0,1.0,1.0
cpb-aacip-507-ms3jw87c9c.6120,0,0,0,0
cpb-aacip-0515ac167c0.53445,1.0,1.0,1.0,1.0
cpb-aacip-507-gm81j9807d.95610,0,0,0,0
cpb-aacip-189-623bk932.50415,1.0,1.0,1.0,1.0
cpb-aacip-526-sb3ws8js1h.50430,1.0,1.0,1.0,1.0
cpb-aacip-526-dj58c9s78v.7230,1.0,1.0,1.0,1.0
cpb-aacip-507-154dn40c26.105495,0,0,0,0
cpb-aacip-901dfeea4db.58260,1.0,1.0,1.0,1.0
cpb-aacip-526-dj58c9s78v.2145,1.0,1.0,1.0,1.0
cpb-aacip-398-00ns1wds.50385,1.0,1.0,1.0,1.0
cpb-aacip-526-dj58c9s78v.84210,1.0,1.0,1.0,1.0
cpb-aacip-0515ac167c0.52635,0.0,0.0,0.0,0.0
cpb-aacip-507-tq5r786f7w.43785,1.0,1.0,1.0,1.0
cpb-aacip-0515ac167c0.52215,1.0,1.0,1.0,1.0
cpb-aacip-507-154dn40c26.26715,0,0,0,0
cpb-aacip-526-1j9765bd42.90,0,0,0,0
cpb-aacip-526-jh3cz33b2z.17730,0,0,0,0
cpb-aacip-507-gm81j9807d.53535,0,0,0,0
cpb-aacip-507-ms3jw87c9c.104535,0,0,0,0
cpb-aacip-507-rj48p5w80b.51270,0,0,0,0
cpb-aacip-41-10wpzpt5.2625,0,0,0,0
cpb-aacip-507-736m03zh49.105330,0.0,1.0,0.0,0.0
cpb-aacip-526-dj58c9s78v.4935,1.0,1.0,1.0,1.0
cpb-aacip-259-ww76x89q.18990,1.0,1.0,1.0,1.0
cpb-aacip-526-dj58c9s78v.58800,1.0,1.0,1.0,1.0
cpb-aacip-398-278sfdms.106905,0,0,0,0
cpb-aacip-0515ac167c0.53205,1.0,1.0,1.0,1.0
cpb-aacip-41-10wpzpt5.53580,0,0,0,0
cpb-aacip-526-3r0pr7nr8r.11340,0,0,0,0
cpb-aacip-526-dj58c9s78v.5790,1.0,1.0,1.0,1.0
cpb-aacip-398-00ns1wds.51495,1.0,1.0,1.0,1.0
cpb-aacip-0515ac167c0.53595,0,0,0,0
cpb-aacip-398-278sfdms.10020,0,0,0,0
cpb-aacip-526-r20rr1qt55.101115,1.0,1.0,1.0,1.0
cpb-aacip-507-ms3jw87c9c.103725,0,0,0,0
cpb-aacip-507-736m03zh49.105075,1.0,1.0,1.0,1.0
cpb-aacip-526-dj58c9s78v.107175,1.0,1.0,1.0,1.0
cpb-aacip-526-dj58c9s78v.83190,1.0,1.0,1.0,1.0
cpb-aacip-507-gm81j9807d.55350,0,0,0,0
cpb-aacip-398-00ns1wds.51525,1.0,1.0,1.0,1.0
cpb-aacip-526-dj58c9s78v.82530,1.0,1.0,1.0,1.0
cpb-aacip-0515ac167c0.53550,1.0,1.0,1.0,1.0
cpb-aacip-507-7h1dj59628.102795,0,0,0,0
cpb-aacip-507-736m03zh49.93120,1.0,1.0,1.0,1.0
cpb-aacip-398-00ns1wds.50955,1.0,1.0,1.0,1.0
cpb-aacip-526-r20rr1qt55.101190,1.0,1.0,1.0,1.0
cpb-aacip-526-r20rr1qt55.105390,1.0,1.0,1.0,1.0
cpb-aacip-81-902z3f9j.52425,0,0,0,0
cpb-aacip-901dfeea4db.60690,1.0,0.0,0.0,0.0
cpb-aacip-526-dj58c9s78v.82365,1.0,1.0,1.0,1.0
cpb-aacip-507-tq5r786f7w.65790,1.0,1.0,1.0,1.0
cpb-aacip-259-4x54hm72.49815,0,0,0,0
cpb-aacip-259-3n20fq7w.23055,1.0,1.0,1.0,1.0
cpb-aacip-526-r20rr1qt55.1560,1.0,1.0,1.0,1.0
cpb-aacip-507-6t0gt5g28c.54675,0,0,0,0
cpb-aacip-526-3r0pr7nr8r.54060,0,0,0,0
cpb-aacip-507-gm81j9807d.55950,0,0,0,0
cpb-aacip-0515ac167c0.53475,1.0,1.0,1.0,1.0
cpb-aacip-526-dj58c9s78v.25425,1.0,1.0,1.0,1.0
cpb-aacip-507-736m03zh49.106245,1.0,1.0,1.0,1.0
cpb-aacip-259-3j39316x.44160,0,0,0,0
cpb-aacip-221-03cz924b.49965,1.0,1.0,1.0,1.0
cpb-aacip-259-4x54hm72.4575,0,0,0,0
cpb-aacip-526-dj58c9s78v.78600,1.0,1.0,1.0,1.0
cpb-aacip-507-gm81j9807d.55500,0,0,0,0
cpb-aacip-398-00ns1wds.50655,1.0,1.0,1.0,1.0
cpb-aacip-526-1j9765bd42.37860,0,0,0,0
cpb-aacip-235-5370swqf.33615,0,0,0,0
cpb-aacip-259-ww76x89q.18960,1.0,1.0,1.0,1.0
cpb-aacip-526-3r0pr7nr8r.53835,0,0,0,0
cpb-aacip-526-1j9765bd42.50835,0,0,0,0
cpb-aacip-398-00ns1wds.3510,1.0,1.0,1.0,1.0
cpb-aacip-41-10wpzpt5.53475,0,0,0,0
cpb-aacip-398-00ns1wds.49395,1.0,1.0,1.0,1.0
cpb-aacip-283-61rfjj43.58935,1.0,1.0,1.0,1.0
cpb-aacip-507-6t0gt5g28c.54315,0,0,0,0
cpb-aacip-293-30prr83h.94155,0,0,0,0
cpb-aacip-526-jh3cz33b2z.50160,0,0,0,0
cpb-aacip-526-jh3cz33b2z.51195,0,0,0,0
cpb-aacip-901dfeea4db.1770,1.0,1.0,1.0,1.0
cpb-aacip-507-6t0gt5g28c.53640,0,0,0,0
cpb-aacip-526-r20rr1qt55.105675,1.0,1.0,1.0,1.0
cpb-aacip-526-dj58c9s78v.79800,1.0,1.0,1.0,1.0
cpb-aacip-526-3r0pr7nr8r.54300,0,0,0,0
cpb-aacip-41-10wpzpt5.53175,0,0,0,0
cpb-aacip-507-154dn40c26.106245,0,0,0,0
cpb-aacip-259-3n20fq7w.23010,1.0,1.0,1.0,1.0
cpb-aacip-189-784j16n7.49380,0,0,0,0
cpb-aacip-507-gm81j9807d.55530,0,0,0,0
cpb-aacip-526-dj58c9s78v.78570,1.0,0.0,0.0,0.0
cpb-aacip-526-sb3ws8js1h.35805,1.0,0.0,0.0,0.0
cpb-aacip-507-ms3jw87c9c.45120,0,0,0,0
cpb-aacip-398-00ns1wds.50430,1.0,1.0,1.0,1.0
cpb-aacip-526-dj58c9s78v.25215,1.0,1.0,1.0,1.0
cpb-aacip-398-00ns1wds.210,1.0,1.0,1.0,1.0
cpb-aacip-398-00ns1wds.50145,1.0,1.0,1.0,1.0
cpb-aacip-526-3r0pr7nr8r.53775,0,0,0,0
cpb-aacip-507-gm81j9807d.96195,0,0,0,0
cpb-aacip-526-sb3ws8js1h.18375,1.0,1.0,1.0,1.0
cpb-aacip-41-10wpzpt5.53190,0,0,0,0
cpb-aacip-901dfeea4db.60570,1.0,1.0,1.0,1.0
cpb-aacip-526-sb3ws8js1h.18435,1.0,1.0,1.0,1.0
cpb-aacip-526-sb3ws8js1h.18495,1.0,0.0,0.0,0.0
cpb-aacip-507-736m03zh49.105240,1.0,1.0,1.0,1.0
cpb-aacip-507-736m03zh49.105465,1.0,1.0,1.0,1.0
cpb-aacip-526-sb3ws8js1h.51075,1.0,1.0,1.0,1.0
cpb-aacip-526-3r0pr7nr8r.54000,0,0,0,0
cpb-aacip-526-dj58c9s78v.84390,1.0,1.0,1.0,1.0
cpb-aacip-901dfeea4db.59370,1.0,1.0,1.0,1.0
cpb-aacip-0515ac167c0.52980,0.0,0.0,0.0,0.0
cpb-aacip-901dfeea4db.107700,1.0,1.0,1.0,1.0
cpb-aacip-259-m32n9b08.44025,0,0,0,0
cpb-aacip-526-sb3ws8js1h.50505,1.0,1.0,1.0,1.0
cpb-aacip-507-ms3jw87c9c.5850,0,0,0,0
cpb-aacip-398-00ns1wds.51300,1.0,1.0,1.0,1.0
cpb-aacip-507-ms3jw87c9c.6300,0,0,0,0
cpb-aacip-81-902z3f9j.52215,0,0,0,0
cpb-aacip-526-dj58c9s78v.3945,1.0,1.0,1.0,1.0
cpb-aacip-526-dj58c9s78v.107625,1.0,1.0,1.0,1.0
cpb-aacip-189-623bk932.50490,1.0,0.0,0.0,0.0
cpb-aacip-507-rj48p5w80b.51915,0,0,0,0
cpb-aacip-259-4x54hm72.49875,0,0,0,0
cpb-aacip-901dfeea4db.107505,1.0,1.0,1.0,1.0
cpb-aacip-526-3r0pr7nr8r.54225,0,0,0,0
cpb-aacip-526-jh3cz33b2z.17565,0,0,0,0
cpb-aacip-901dfeea4db.1290,1.0,1.0,1.0,1.0
cpb-aacip-507-gm81j9807d.9015,0,0,0,0
cpb-aacip-398-00ns1wds.165,1.0,1.0,1.0,1.0
cpb-aacip-507-ms3jw87c9c.105000,0,0,0,0
cpb-aacip-283-61rfjj43.104535,1.0,1.0,1.0,1.0
cpb-aacip-41-10wpzpt5.53355,0,0,0,0
cpb-aacip-526-jh3cz33b2z.50400,0,0,0,0
cpb-aacip-398-5370s4sx.86790,0,0,0,0
cpb-aacip-901dfeea4db.1800,1.0,1.0,1.0,1.0
cpb-aacip-526-jh3cz33b2z.50835,0,0,0,0
cpb-aacip-526-dj58c9s78v.107460,1.0,1.0,1.0,1.0
cpb-aacip-526-dj58c9s78v.83145,1.0,1.0,1.0,1.0
cpb-aacip-526-dj58c9s78v.81300,1.0,1.0,1.0,1.0
cpb-aacip-259-4x54hm72.10935,0,0,0,0
cpb-aacip-151-nc5s75735d.25650,1.0,1.0,1.0,1.0
