guid,keys,vals,pairs,total
cpb-aacip-131-375tb64j.48675,0.0,1.0,0.0,0.3333333333333333
cpb-aacip-131-375tb64j.48600,1.0,0.0,0.0,0.3333333333333333
cpb-aacip-283-61rfjj43.102990,1.0,0.5,0.5,0.6666666666666666
cpb-aacip-507-736m03zh49.105330,0.0,1.0,0.0,0.3333333333333333
cpb-aacip-189-623bk932.50490,1.0,0.0,0.0,0.3333333333333333
cpb-aacip-221-03cz924b.50265,0.5,0.5,0.75,0.5833333333333334
cpb-aacip-131-375tb64j.48870,1.0,0.0,0.5,0.5
cpb-aacip-189-623bk932.50190,0.5,1.0,0.5,0.6666666666666666
cpb-aacip-221-03cz924b.50385,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
cpb-aacip-221-03cz924b.50310,0.6666666666666666,0.6666666666666666,0.4,0.5777777777777778
cpb-aacip-398-00ns1wds.50115,0.5,1.0,0.3333333333333333,0.611111111111111
cpb-aacip-507-tq5r786f7w.104415,0.0,1.0,0.0,0.3333333333333333
cpb-aacip-398-00ns1wds.49755,0.5,0.5,0.3333333333333333,0.4444444444444444
cpb-aacip-283-61rfjj43.103575,1.0,0.5,1.0,0.8333333333333334
cpb-aacip-507-tq5r786f7w.104895,0.0,0.0,0.0,0.0
cpb-aacip-283-61rfjj43.102795,1.0,0.0,0.0,0.3333333333333333
cpb-aacip-221-03cz924b.50160,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
cpb-aacip-526-sb3ws8js1h.50265,1.0,0.5,0.5,0.6666666666666666
cpb-aacip-283-61rfjj43.102960,0.0,0.0,0.0,0.0
cpb-aacip-283-61rfjj43.103230,1.0,0.0,0.0,0.3333333333333333
cpb-aacip-189-623bk932.50160,0.5,1.0,0.5,0.6666666666666666
cpb-aacip-189-623bk932.50505,1.0,0.0,0.0,0.3333333333333333
cpb-aacip-221-03cz924b.50220,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
cpb-aacip-0515ac167c0.52500,1.0,0.0,0.0,0.3333333333333333
cpb-aacip-283-61rfjj43.102915,1.0,0.5,0.5,0.6666666666666666
cpb-aacip-526-sb3ws8js1h.50400,0.5,1.0,0.5,0.6666666666666666
cpb-aacip-507-736m03zh49.106005,1.0,0.5,0.8333333333333334,0.7777777777777778
cpb-aacip-189-623bk932.50175,0.0,1.0,0.0,0.3333333333333333
cpb-aacip-507-736m03zh49.105885,1.0,0.0,0.875,0.625
cpb-aacip-221-03cz924b.50295,0.5,0.5,0.25,0.4166666666666667
cpb-aacip-507-736m03zh49.105090,1.0,0.0,0.8333333333333334,0.6111111111111112
cpb-aacip-283-61rfjj43.102975,1.0,0.0,0.0,0.3333333333333333
cpb-aacip-283-61rfjj43.103185,1.0,0.5,0.8,0.7666666666666666
cpb-aacip-189-623bk932.50520,0.5,0.5,0.5,0.5
cpb-aacip-131-375tb64j.48660,1.0,0.0,0.0,0.3333333333333333
cpb-aacip-221-03cz924b.50235,1.0,0.5,0.75,0.75
cpb-aacip-131-375tb64j.48735,1.0,0.0,0.0,0.3333333333333333
cpb-aacip-221-03cz924b.50085,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
cpb-aacip-131-375tb64j.48825,1.0,0.0,0.0,0.3333333333333333
cpb-aacip-131-375tb64j.48765,1.0,0.0,0.0,0.3333333333333333
cpb-aacip-0515ac167c0.51975,1.0,0.0,0.8,0.6
cpb-aacip-131-375tb64j.48810,0.0,1.0,0.0,0.3333333333333333
cpb-aacip-189-623bk932.50250,1.0,0.5,0.6666666666666666,0.7222222222222222
cpb-aacip-507-736m03zh49.105630,1.0,0.5,0.6666666666666666,0.7222222222222222
cpb-aacip-221-03cz924b.50400,1.0,0.5,0.5,0.6666666666666666
