guid,keys,vals,pairs,total
cpb-aacip-189-623bk932.50280,1.0,1.0,1.0,1.0
cpb-aacip-398-00ns1wds.50490,1.0,1.0,1.0,1.0
cpb-aacip-189-623bk932.50295,1.0,1.0,1.0,1.0
cpb-aacip-283-61rfjj43.103545,1.0,1.0,1.0,1.0
cpb-aacip-398-00ns1wds.50880,1.0,1.0,1.0,1.0
cpb-aacip-189-623bk932.50265,1.0,1.0,1.0,1.0
cpb-aacip-507-736m03zh49.105225,1.0,1.0,1.0,1.0
cpb-aacip-283-61rfjj43.102870,1.0,1.0,1.0,1.0
cpb-aacip-507-736m03zh49.105195,1.0,1.0,1.0,1.0
cpb-aacip-507-736m03zh49.105825,1.0,1.0,1.0,1.0
cpb-aacip-283-61rfjj43.102810,1.0,1.0,1.0,1.0
cpb-aacip-131-375tb64j.48675,0.0,1.0,0.0,0.0
cpb-aacip-131-375tb64j.48600,1.0,0.0,0.0,0.0
cpb-aacip-283-61rfjj43.102990,1.0,0.5,0.5,0.25
cpb-aacip-526-dj58c9s78v.104220,1.0,1.0,1.0,1.0
cpb-aacip-189-623bk932.50355,1.0,1.0,1.0,1.0
cpb-aacip-283-61rfjj43.102630,1.0,1.0,1.0,1.0
cpb-aacip-221-03cz924b.50145,1.0,1.0,1.0,1.0
cpb-aacip-189-623bk932.50415,1.0,1.0,1.0,1.0
cpb-aacip-0515ac167c0.52215,1.0,1.0,1.0,1.0
cpb-aacip-507-736m03zh49.105330,0.0,1.0,0.0,0.0
cpb-aacip-0515ac167c0.53205,1.0,1.0,1.0,1.0
cpb-aacip-221-03cz924b.49965,1.0,1.0,1.0,1.0
cpb-aacip-507-736m03zh49.105465,1.0,1.0,1.0,1.0
cpb-aacip-189-623bk932.50490,1.0,0.0,0.0,0.0
cpb-aacip-526-sb3ws8js1h.50565,1.0,1.0,1.0,1.0
cpb-aacip-221-03cz924b.50265,0.5,0.5,0.75,0.1875
cpb-aacip-283-61rfjj43.103335,1.0,1.0,1.0,1.0
cpb-aacip-189-623bk932.50220,1.0,1.0,1.0,1.0
cpb-aacip-507-736m03zh49.105000,1.0,1.0,1.0,1.0
cpb-aacip-131-375tb64j.48870,1.0,0.0,0.5,0.0
